AURAL2,,Convert to %R("AURAL2"):AURAL2,,Convert to Abs("Convert to %R("AURAL2"):AURAL2"):Convert to %R("AURAL2"):AURAL2,,
Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),Abs,
2303,23.59488869,2303,23.59488869,2303,0.6271820664,
2302,23.62493515,2302,23.62493515,2302,0.6266293526,
2301,23.58595276,2301,23.58595276,2301,0.6273465753,
2300,23.56041527,2300,23.56041527,2300,0.6278170347,
2299,23.55715561,2299,23.55715561,2299,0.6278771162,
2298,23.55891228,2298,23.55891228,2298,0.6278447509,
2297,23.52659225,2297,23.52659225,2297,0.6284409761,
2296,23.53881645,2296,23.53881645,2296,0.6282153726,
2295,23.48710632,2295,23.48710632,2295,0.6291704774,
2294,23.49102783,2294,23.49102783,2294,0.6290979981,
2293,23.48620987,2293,23.48620987,2293,0.6291870475,
2292,23.47989655,2292,23.47989655,2292,0.629303813,
2291,23.44912148,2291,23.44912148,2291,0.629873395,
2290,23.458395,2290,23.458395,2290,0.6297017336,
2289,23.47716141,2289,23.47716141,2289,0.6293544173,
2288,23.45414352,2288,23.45414352,2288,0.6297804117,
2287,23.39730453,2287,23.39730453,2287,0.6308341622,
2286,23.44161034,2286,23.44161034,2286,0.6300125718,
2285,23.40880775,2285,23.40880775,2285,0.630620718,
2284,23.38026237,2284,23.38026237,2284,0.6311506033,
2283,23.39882278,2283,23.39882278,2283,0.6308059692,
2282,23.39571381,2282,23.39571381,2282,0.6308636665,
2281,23.38078499,2281,23.38078499,2281,0.6311408877,
2280,23.3349762,2280,23.3349762,2280,0.6319926381,
2279,23.36437035,2279,23.36437035,2279,0.6314458847,
2278,23.4146595,2278,23.4146595,2278,0.6305121779,
2277,23.33572197,2277,23.33572197,2277,0.6319787502,
2276,23.37099648,2276,23.37099648,2276,0.6313228011,
2275,23.36821365,2275,23.36821365,2275,0.6313744783,
2274,23.37631226,2274,23.37631226,2274,0.6312239766,
2273,23.25885391,2273,23.25885391,2273,0.6334117055,
2272,23.34085274,2272,23.34085274,2272,0.6318832636,
2271,23.26871681,2271,23.26871681,2271,0.6332275271,
2270,23.30133057,2270,23.30133057,2270,0.6326192617,
2269,23.26317215,2269,23.26317215,2269,0.6333310604,
2268,23.19854927,2268,23.19854927,2268,0.634539187,
2267,23.26366234,2267,23.26366234,2267,0.6333218813,
2266,23.19068527,2266,23.19068527,2266,0.6346864104,
2265,23.26642036,2265,23.26642036,2265,0.6332704425,
2264,23.21034431,2264,23.21034431,2264,0.6343184114,
2263,23.19432259,2263,23.19432259,2263,0.6346183419,
2262,23.20989799,2262,23.20989799,2262,0.634326756,
2261,23.16010475,2261,23.16010475,2261,0.6352595091,
2260,23.17552185,2260,23.17552185,2260,0.6349704862,
2259,23.12163353,2259,23.12163353,2259,0.6359815001,
2258,23.08198357,2258,23.08198357,2258,0.6367268562,
2257,23.11670494,2257,23.11670494,2257,0.6360740662,
2256,23.09633064,2256,23.09633064,2256,0.636457026,
2255,23.11748314,2255,23.11748314,2255,0.636059463,
2254,23.11634827,2254,23.11634827,2254,0.6360807419,
2253,23.10939217,2253,23.10939217,2253,0.6362114549,
2252,23.08248711,2252,23.08248711,2252,0.6367173791,
2251,23.0746727,2251,23.0746727,2251,0.6368644238,
2250,23.02761269,2250,23.02761269,2250,0.6377511024,
2249,23.02355576,2249,23.02355576,2249,0.6378275752,
2248,23.03219223,2248,23.03219223,2248,0.6376647353,
2247,23.03035355,2247,23.03035355,2247,0.6376993656,
2246,23.03019524,2246,23.03019524,2246,0.6377024055,
2245,22.98623848,2245,22.98623848,2245,0.6385321021,
2244,22.95755959,2244,22.95755959,2244,0.639074266,
2243,23.00048828,2243,23.00048828,2243,0.6382629275,
2242,22.93864441,2242,22.93864441,2242,0.6394322515,
2241,22.99647331,2241,22.99647331,2241,0.6383387446,
2240,22.91516113,2240,22.91516113,2240,0.6398770809,
2239,22.90851212,2239,22.90851212,2239,0.6400031447,
2238,22.90866089,2238,22.90866089,2238,0.6400002837,
2237,22.93427849,2237,22.93427849,2237,0.6395149231,
2236,22.9006958,2236,22.9006958,2236,0.6401513219,
2235,22.87676048,2235,22.87676048,2235,0.6406054497,
2234,22.93575478,2234,22.93575478,2234,0.6394869685,
2233,22.8633461,2233,22.8633461,2233,0.6408601999,
2232,22.85834694,2232,22.85834694,2232,0.6409551501,
2231,22.85117531,2231,22.85117531,2231,0.641091466,
2230,22.82166862,2230,22.82166862,2230,0.6416525841,
2229,22.8508625,2229,22.8508625,2229,0.6410974264,
2228,22.82406425,2228,22.82406425,2228,0.6416070461,
2227,22.80912399,2227,22.80912399,2227,0.6418914199,
2226,22.80828285,2226,22.80828285,2226,0.6419073939,
2225,22.86885071,2225,22.86885071,2225,0.6407556534,
2224,22.76431847,2224,22.76431847,2224,0.642745316,
2223,22.76019669,2223,22.76019669,2223,0.6428239942,
2222,22.74950218,2222,22.74950218,2222,0.6430281401,
2221,22.7430172,2221,22.7430172,2221,0.6431519389,
2220,22.76519012,2220,22.76519012,2220,0.6427287459,
2219,22.75748444,2219,22.75748444,2219,0.642875731,
2218,22.76154518,2218,22.76154518,2218,0.642798245,
2217,22.72763634,2217,22.72763634,2217,0.6434457302,
2216,22.72121239,2216,22.72121239,2216,0.6435684562,
2215,22.74687195,2215,22.74687195,2215,0.6430783272,
2214,22.7062664,2214,22.7062664,2214,0.6438542604,
2213,22.72796822,2213,22.72796822,2213,0.6434394121,
2212,22.69451523,2212,22.69451523,2212,0.6440790892,
2211,22.68594742,2211,22.68594742,2211,0.6442430615,
2210,22.67596054,2210,22.67596054,2210,0.6444342732,
2209,22.66462517,2209,22.66462517,2209,0.6446514726,
2208,22.68031502,2208,22.68031502,2208,0.6443508863,
2207,22.63733673,2207,22.63733673,2207,0.6451746821,
2206,22.62949753,2206,22.62949753,2206,0.6453250647,
2205,22.68470955,2205,22.68470955,2205,0.6442667842,
2204,22.67231178,2204,22.67231178,2204,0.6445041895,
2203,22.67785072,2203,22.67785072,2203,0.6443980932,
2202,22.70622635,2202,22.70622635,2202,0.6438550353,
2201,22.66311836,2201,22.66311836,2201,0.6446803212,
2200,22.66290855,2200,22.66290855,2200,0.6446843743,
2199,22.67737007,2199,22.67737007,2199,0.6444073319,
2198,22.66036797,2198,22.66036797,2198,0.6447330117,
2197,22.69137001,2197,22.69137001,2197,0.6441392899,
2196,22.67152596,2196,22.67152596,2196,0.6445192099,
2195,22.6602478,2195,22.6602478,2195,0.6447353363,
2194,22.63587189,2194,22.63587189,2194,0.6452028155,
2193,22.72484207,2193,22.72484207,2193,0.643499136,
2192,22.66950989,2192,22.66950989,2192,0.6445578337,
2191,22.68734932,2191,22.68734932,2191,0.6442162395,
2190,22.66118622,2190,22.66118622,2190,0.6447173357,
2189,22.67314529,2189,22.67314529,2189,0.6444882154,
2188,22.66585159,2188,22.66585159,2188,0.6446279287,
2187,22.6367054,2187,22.6367054,2187,0.6451867819,
2186,22.69042206,2186,22.69042206,2186,0.6441574693,
2185,22.72401619,2185,22.72401619,2185,0.6435149312,
2184,22.69786263,2184,22.69786263,2184,0.6440150142,
2183,22.72438812,2183,22.72438812,2183,0.6435077786,
2182,22.74983978,2182,22.74983978,2182,0.6430216432,
2181,22.76585388,2181,22.76585388,2181,0.6427160501,
2180,22.70389366,2180,22.70389366,2180,0.6438996792,
2179,22.74446297,2179,22.74446297,2179,0.6431242824,
2178,22.77451897,2178,22.77451897,2178,0.6425507665,
2177,22.73558235,2177,22.73558235,2177,0.6432939172,
2176,22.79393959,2176,22.79393959,2176,0.6421806216,
2175,22.80920029,2175,22.80920029,2175,0.6418899298,
2174,22.79122162,2174,22.79122162,2174,0.6422324181,
2173,22.78010178,2173,22.78010178,2173,0.6424443126,
2172,22.81414604,2172,22.81414604,2172,0.641795814,
2171,22.84080887,2171,22.84080887,2171,0.6412885189,
2170,22.81009674,2170,22.81009674,2170,0.6418728828,
