R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;T_ref;timestamp;;;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21
36,44011746;38,74068408;38,33420812;36,59782862;37,47496149;38,52089114;36,26228659;37,72144322;37,56034599;36,43390052;35,57148259;34,75132994;36,33255765;34,86850504;35,61736119;36,93361939;36,15409884;35,2028675;37,5661601;35,45467257;36,41871236;28,43795528;25;2025-04-14T15:28:51;;;8,00216218;10,3027288;9,896252843;8,15987334;9,037006214;10,08293586;7,82433131;9,28348794;9,122390707;7,995945244;7,13352731;6,313374659;7,894602369;6,430549758;7,179405912;8,495664115;7,716143566;6,76491222;9,128204821;7,016717291;7,98075708
36,40069983;38,66131342;38,255131;36,47670754;37,35814183;38,40068744;36,18532459;37,68059521;37,4809947;36,39538603;35,53359392;34,67231242;36,25008901;34,7510031;35,58217229;36,85855257;36,07977751;35,16647098;37,48728716;35,41671839;36,34061068;28,43795528;25;2025-04-14T15:28:51;;;7,962744553;10,22335814;9,817175723;8,038752259;8,920186554;9,962732164;7,747369314;9,242639931;9,043039426;7,957430754;7,09563864;6,234357146;7,812133727;6,313047821;7,144217013;8,420597287;7,641822228;6,728515696;9,049331879;6,978763115;7,902655404
36,32185116;38,54224549;38,17605175;36,3959378;37,31918907;38,32054987;36,14684056;37,5988832;37,36197457;36,31834667;35,41993261;34,63279967;36,16758106;34,71183266;35,54698234;36,78351216;36,00544516;35,05727105;37,44784754;35,30285239;36,2234199;28,39774017;25;2025-04-14T15:28:52;;;7,924110985;10,14450531;9,778311579;7,998197632;8,921448895;9,922809701;7,749100389;9,201143024;8,964234402;7,920606499;7,022192441;6,235059496;7,769840892;6,314092488;7,149242171;8,385771993;7,607704988;6,659530882;9,050107364;6,905112223;7,82567973
36,24298434;38,46285848;38,09697008;36,3959378;37,2802298;38,20034013;36,06986625;37,5171496;37,28263192;36,24129323;35,38204696;34,59328419;36,0850335;34,63348686;35,47659916;36,70849791;35,8939254;35,05727105;37,3689618;35,26489579;36,18434596;28,35751537;25;2025-04-14T15:28:52;;;7,885468973;10,10534312;9,739454714;8,038422437;8,922714434;9,84282476;7,71235088;9,159634236;8,925116554;7,88377786;7,024531594;6,235768827;7,727518133;6,275971497;7,119083796;8,350982548;7,53641003;6,699755687;9,011446437;6,907380421;7,82683059
36,20354404;38,34376469;38,0178857;36,35554612;37,20229163;38,08012543;35,95438861;37,3945081;37,20329221;36,12568603;35,26839386;34,51424494;36,002446;34,55513427;35,44140587;36,63350954;35,85674634;34,98446214;37,25061645;35,18898045;36,10618232;28,31728082;25;2025-04-14T15:28:53;;;7,886263217;10,02648387;9,700604884;8,038265301;8,885010807;9,762844613;7,637107796;9,077227277;8,886011389;7,80840521;6,951113043;6,196964124;7,685165179;6,237853446;7,124125049;8,316228721;7,53946552;6,667181322;8,93333563;6,871699634;7,7889015
36,12464945;38,26435954;37,93879833;36,31514984;37,12432702;37,99997906;35,91589162;37,31271924;37,12395514;36,08714294;35,23051066;34,47472109;35,91981824;34,51595532;35,40621139;36,55854677;35,81956432;34,98446214;37,21116338;35,15102165;36,06709255;28,35751537;25;2025-04-14T15:28:54;;;7,767134083;9,906844175;9,581282961;7,957634475;8,766811653;9,642463698;7,558376251;8,955203875;8,766439775;7,729627577;6,872995296;6,117205723;7,56230287;6,158439955;7,048696026;8,201031399;7,462048956;6,626946774;8,853648016;6,793506287;7,709577187
36,04573598;38,18494663;37,89925343;36,27474893;37,08533471;37,9599048;35,83889073;37,27181635;37,08428751;36,01004553;35,19262799;34,39566474;35,87848916;34,47677457;35,3710157;36,48360932;35,78237931;34,94805489;37,13225011;35,11306205;36,02799744;28,31728082;25;2025-04-14T15:28:54;;;7,72845516;9,867665812;9,581972607;7,957468112;8,768053895;9,64262398;7,521609908;8,954535529;8,767006691;7,692764712;6,875347171;6,078383922;7,56120834;6,159493748;7,053734886;8,166328498;7,465098495;6,630774074;8,814969295;6,795781234;7,710716622
36,00627207;38,14523717;37,82016101;36,27474893;37,04633569;37,87975392;35,80038676;37,23090776;37,04462043;36,01004553;35,15474581;34,35613217;35,75444065;34,35922105;35,26542104;36,37125003;35,70800018;34,94805489;37,09278984;34,99917809;35,94979103;28,23678231;25;2025-04-14T15:28:55;;;7,769489758;9,908454863;9,583378702;8,03796662;8,809553381;9,642971611;7,563604452;8,994125449;8,80783812;7,773263221;6,917963496;6,119349859;7,517658342;6,122438744;7,02863873;8,134467717;7,471217866;6,711272582;8,856007526;6,762395777;7,713008715
35,92732971;38,06581207;37,74106488;36,19393306;37,04633569;37,79959967;35,7618804;37,18999344;37,00495387;35,93293288;35,07898277;34,31659662;35,75444065;34,32003268;35,23022018;36,3338093;35,63360865;34,87523464;37,01386182;34,92325079;35,87156278;28,23678231;25;2025-04-14T15:28:55;;;7,6905474;9,829029763;9,504282569;7,957150749;8,809553381;9,562817359;7,525098092;8,953211127;8,768171556;7,696150575;6,842200458;6,079814305;7,517658342;6,083250365;6,993437867;8,097026985;7,39682634;6,638452334;8,777079507;6,686468478;7,63478047
35,88785119;38,02609636;37,66196473;36,15351802;36,89027171;37,71944175;35,72337161;37,10814744;36,96528778;35,85580472;35,04110184;34,23751641;35,71307059;34,2808423;35,1246092;36,29637469;35,55920446;34,8024065;36,9349236;34,84731943;35,79331241;28,23678231;25;2025-04-14T15:28:56;;;7,651068878;9,789314048;9,425182425;7,916735713;8,653489395;9,482659439;7,486589302;8,871365134;8,72850547;7,619022407;6,804319532;6,000734098;7,476288282;6,044059988;6,887826894;8,059592378;7,322422147;6,565624188;8,698141289;6,610537124;7,556530097
