R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;PD25;PD26;PD27;PD28;PD29;PD30;Puissance estimée (W);T_ref;timestamp
33,02992134;35,25136403;33,21841561;30,62467974;33,94590481;33,98768373;30,90718933;33,94247063;33,39540237;31,14077029;32,57853692;33,92808088;32,57145319;31,52308361;34,22484691;33,69993241;31,24552414;34,27111779;35,28896547;31,26558068;36,75443887;23,93490922;0,003;0,909;0,159;0,411;0,065;0,097;16,03509036;23,93490922;2025-04-18T13:18:32
33,19056349;35,45228636;33,33882328;30,70801463;34,105384;34,14995112;30,98585561;34,06765547;33,51543469;31,21987296;32,76931831;34,16685534;32,69896656;31,64205689;34,43759915;33,84921226;31,35961986;34,52773322;35,52799315;31,3809359;36,98978159;23,93490922;0,004;0,91;0,16;0,411;0,066;0,097;16,3294648;23,93490922;2025-04-18T13:18:33
33,3510828;35,61294092;33,45918374;30,79130806;34,26470775;34,31214786;31,06449296;34,19276057;33,67543799;31,33846216;32,88376486;34,44528041;32,82635757;31,760988;34,65027438;34,03589998;31,47364864;34,74759807;35,7270729;31,49625079;37,26414207;24,06030213;0,004;0,913;0,16;0,416;0,066;0,097;16,51579835;24,06030213;2025-04-18T13:18:33
33,51148187;35,81365906;33,57949807;30,83293933;34,42387864;34,4742765;31,18239548;34,35944529;33,795412;31,37797478;33,03633637;34,68381563;32,95362746;31,87987804;34,86287986;34,22268943;31,54963115;34,96738662;35,88626813;31,6115264;37,53829262;24,06030213;0,003;0,904;0,159;0,417;0,066;0,098;16,85871489;24,06030213;2025-04-18T13:18:33
33,67176334;35,97415653;33,65968254;30,91617124;34,58289927;34,63633958;31,26096197;34,48436873;33,9553414;31,4569746;33,18888275;34,92225363;33,1231344;31,95911579;35,04000302;34,40958493;31,66355073;35,15049089;36,04540506;31,72676377;37,77312117;24,10206918;0,004;0,915;0,16;0,423;0,066;0,097;17,10020258;24,10206918;2025-04-18T13:18:34
33,83192981;36,13458819;33,77992241;30,9993626;34,74177219;34,79833965;31,37875975;34,6508153;34,07526286;31,49646188;33,34140638;35,16060268;33,29243113;32,11753928;35,25249936;34,55918062;31,73946143;35,37015902;36,24424791;31,88035594;37,96870645;24,06030213;0,004;0,918;0,161;0,423;0,066;0,097;17,3970907;24,06030213;2025-04-18T13:18:34
33,99198386;36,33503895;33,90011904;31,04094318;34,90049996;35,00075498;31,45725745;34,81712942;34,19516357;31,57541141;33,53203253;35,39887102;33,37700158;32,23631264;35,42954164;34,74627796;31,85327477;35,58977201;36,44300815;31,95712799;38,16420092;24,06030213;0,004;0,912;0,162;0,418;0,066;0,097;17,64162163;24,06030213;2025-04-18T13:18:34
34,15192806;36,49533149;34,02027349;31,12407437;35,05908512;35,16262252;31,57495359;34,94177968;34,31504456;31,69377374;33,68451363;35,59737223;33,50376088;32,35504928;35,60655378;34,9334935;31,92911564;35,77274606;36,60196003;32,07225692;38,35960906;24,06030213;0,004;0,914;0,161;0,423;0,066;0,097;17,88604458;24,06030213;2025-04-18T13:18:35
34,27181568;36,61551278;34,14038685;31,16562507;35,21753019;35,28398706;31,65338457;35,06635802;34,47485703;31,77264113;33,83697966;35,83551388;33,67259523;32,47375027;35,78353992;35,12083157;32,04282569;35,95569125;36,8005834;32,18735176;38,59399118;24,10206918;0,004;0,905;0,162;0,419;0,067;0,098;18,12697386;24,10206918;2025-04-18T13:18:35
34,39164404;36,77570563;34,3004759;31,24869692;35,33627357;35,4457603;31,77098215;35,23235249;34,5946961;31,85147625;33,98943296;36,07359796;33,84122874;32,59241669;35,96050416;35,23329504;32,11859868;36,13861182;36,95943184;32,26406323;38,78922513;24,10206918;0,003;0,908;0,161;0,42;0,066;0,099;18,37117892;24,10206918;2025-04-18T13:18:35
34,5114142;36,93584485;34,38049452;31,29021815;35,45494061;35,6074831;31,84934844;35,35676729;34,71451894;31,93027942;34,103766;36,23229272;33,96757376;32,75058665;36,10206256;35,383319;32,19434505;36,28493343;37,15793347;32,37910356;38,98438702;24,14382104;0,004;0,911;0,162;0,424;0,066;0,099;18,56306924;24,14382104;2025-04-18T13:18:36
34,63112724;37,09593286;34,4604963;31,37323146;35,61304641;35,76915794;31,96685053;35,52254767;34,8343266;32,00905098;34,25620268;36,39096789;34,13586259;32,86917655;36,27899774;35,53342804;32,27006513;36,46782043;37,31669053;32,49411256;39,14046761;24,18555776;0,004;0,904;0,161;0,427;0,066;0,099;18,70609433;24,18555776;2025-04-18T13:18:36
34,79065761;37,25597204;34,58046806;31,45620618;35,73153942;35,8903841;32,08429678;35,64680486;34,95412011;32,08779125;34,40863306;36,54962588;34,26195233;32,98773544;36,42053819;35,6836244;32,38359662;36,61412067;37,47541083;32,57076832;39,33551092;24,14382104;0,004;0,914;0,161;0,423;0,066;0,099;19,00226659;24,14382104;2025-04-18T13:18:36
34,91024151;37,37597085;34,70040367;31,49767918;35,84995958;36,01158571;32,16256379;35,81237904;35,0739005;32,20584373;34,52295311;36,70826907;34,42990505;33,10626437;36,59745757;35,83391031;32,45925231;36,79698781;37,63409672;32,68572735;39,49150237;24,18555776;0,004;0,925;0,161;0,418;0,066;0,099;19,14518018;24,18555776;2025-04-18T13:18:37
35,02977182;37,49594455;34,78034119;31,5805967;36,0077416;36,17315149;32,24080679;35,93648451;35,19366882;32,28450724;34,67537808;36,90655586;34,5557459;33,2247644;36,73899066;35,94668483;32,53488278;36,94327764;37,79275058;32,80065778;39,64745786;24,18555776;0,004;0,915;0,161;0,413;0,066;0,099;19,34025445;24,18555776;2025-04-18T13:18:37
35,14924961;37,65587219;34,90021889;31,66347652;36,12599581;36,2942999;32,31902611;36,06052675;35,31342608;32,36314061;34,82780314;37,10482787;34,63958155;33,38272132;36,88052388;36,05951192;32,64828187;37,08956635;37,95137473;32,9155606;39,80337963;24,26898601;0,004;0,915;0,159;0,413;0,066;0,099;19,43093173;24,26898601;2025-04-18T13:18:37
35,26867592;37,77579125;34,98011877;31,746319;36,24418061;36,4557985;32,43631136;36,14318697;35,43317334;32,40244609;34,90401643;37,26343796;34,76524851;33,50115803;37,02205929;36,21003142;32,72385064;37,2358561;38,07032478;32,99214765;39,92030018;24,31067765;0,003;0,922;0,16;0,413;0,067;0,098;19,52503053;24,31067765;2025-04-18T13:18:38
35,34826538;37,93564966;35,02006325;31,82912449;36,36229702;36,57689934;32,47539495;36,30842581;35,5529116;32,48103487;35,01833812;37,42204393;34,93264474;33,65903431;37,12821354;36,28532753;32,76162595;37,38214903;38,22890261;33,10700672;40,07616833;24,35235439;0,004;0,912;0,161;0,413;0,067;0,098;19,66786492;24,35235439;2025-04-18T13:18:38
35,50737829;38,05551953;35,13987531;31,91189333;36,48034608;36,69798151;32,59261176;36,43228475;35,63273262;32,55959432;35,1326628;37,58064812;35,01627518;33,7774134;37,30514502;36,36064826;32,87491604;37,5284473;38,34782059;33,22184088;40,23200892;24,35235439;0,004;0,911;0,161;0,414;0,067;0,098;19,86279546;24,35235439;2025-04-18T13:18:38
35,62665644;38,17536999;35,21973258;31,99462589;36,59832879;36,81904605;32,67072843;36,55608472;35,75245818;32,63812477;35,24699143;37,73925291;35,14163717;33,89576952;37,44669949;36,47367613;32,95041328;37,67475305;38,50635926;33,33665115;40,34887261;24,39401626;0,004;0,914;0,162;0,409;0,067;0,097;19,95686037;24,39401626;2025-04-18T13:18:39
35,70614887;38,29520202;35,29957627;32,11865745;36,71624617;36,94009397;32,74882315;36,72106143;35,87217748;32,67737922;35,39943743;37,89786064;35,2668998;33,97466136;37,55287212;36,58676095;33,06361566;37,82106843;38,62525054;33,41317855;40,46572298;24,39401626;0,003;0,906;0,161;0,404;0,067;0,097;20,10302067;24,39401626;2025-04-18T13:18:39
