temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
140.838,NIR,967.0,2.5711897382949838
141.405,NIR,978.0,2.54493758815238
141.938,NIR,978.0,2.5814887085364
142.47,NIR,977.0,2.53104847223559
143.006,NIR,967.0,2.502742146793792
143.541,NIR,967.0,2.495280756509241
144.071,NIR,977.0,2.51591536067593
144.593,NIR,977.0,2.51591536067593
145.138,NIR,977.0,2.758002057436563
145.672,NIR,975.0,2.993261844195474
146.205,NIR,978.0,3.2935862983647355
146.748,NIR,978.0,3.536959579356234
147.323,NIR,977.0,3.792743050341823
147.818,NIR,977.0,4.027263191322627
148.346,NIR,978.0,4.294220186826202
148.883,NIR,977.0,4.533875071876013
149.421,NIR,973.0,4.744122969458854
149.949,NIR,973.0,4.9760323879907205
150.493,NIR,973.0,4.9760323879907205
151.024,NIR,973.0,4.9760323879907205
151.55,NIR,973.0,4.9760323879907205
152.098,NIR,973.0,5.000750847256382
152.661,NIR,973.0,4.9760323879907205
153.162,NIR,977.0,5.032920396649568
153.696,NIR,977.0,5.032920396649568
154.232,NIR,977.0,5.032920396649568
154.754,NIR,975.0,5.056893472913346
155.273,NIR,975.0,5.057543475929103
155.821,NIR,978.0,5.067277111993119
156.366,NIR,977.0,5.047149599070032
156.894,NIR,975.0,5.049349479572475
157.433,NIR,975.0,5.049349479572475
157.988,NIR,975.0,5.049349479572475
158.506,NIR,975.0,5.056893472913346
159.054,NIR,973.0,5.022614032698105
159.587,NIR,973.0,5.022614032698105
160.128,NIR,973.0,5.022614032698105
160.656,NIR,973.0,5.022614032698105
161.187,NIR,973.0,5.022614032698105
161.731,NIR,973.0,4.997895573432443
162.264,NIR,973.0,4.997895573432443
162.808,NIR,973.0,4.983555605052459
163.33,NIR,973.0,4.983555605052459
163.861,NIR,973.0,4.983555605052459
164.397,NIR,973.0,4.983555605052459
164.935,NIR,973.0,4.983555605052459
165.461,NIR,973.0,4.983555605052459
166.0,NIR,977.0,5.048053508209227
166.541,NIR,973.0,4.991078822114197
167.071,NIR,977.0,5.048053508209227
167.6,NIR,973.0,4.991078822114197
168.144,NIR,973.0,4.983555605052459
168.676,NIR,977.0,5.040486952429399
169.205,NIR,973.0,5.016457936326189
169.721,NIR,973.0,5.016457936326189
170.275,NIR,973.0,5.016457936326189
170.85,NIR,973.0,5.000750847256382
171.348,NIR,973.0,5.000750847256382
171.88,NIR,975.0,5.035064531110943
172.418,NIR,973.0,5.000750847256382
172.948,NIR,977.0,5.032920396649568
173.493,NIR,977.0,5.032920396649568
174.024,NIR,973.0,5.008274064318121
174.552,NIR,977.0,5.040486952429399
175.094,NIR,977.0,5.040486952429399
175.622,NIR,975.0,5.031422109405128
176.16,NIR,975.0,5.038966102745998
176.692,NIR,973.0,5.023981153387927
177.23,NIR,973.0,4.991078822114197
177.765,NIR,973.0,5.005418790494181
178.302,NIR,973.0,5.03766046682158
178.823,NIR,973.0,5.005418790494181
179.371,NIR,975.0,5.031422109405128
179.891,NIR,973.0,4.997895573432443
180.438,NIR,973.0,4.983555605052459
180.972,NIR,973.0,4.983555605052459
181.507,NIR,973.0,4.9760323879907205
182.041,NIR,973.0,4.9753717330443905
182.574,NIR,973.0,4.9753717330443905
183.108,NIR,973.0,4.9753717330443905
183.64,NIR,973.0,4.967848515982652
184.173,NIR,973.0,4.967848515982652
184.69,NIR,973.0,4.9753717330443905
185.247,NIR,973.0,4.9753717330443905
185.783,NIR,973.0,5.000090192310052
186.317,NIR,973.0,5.00761340937179
186.852,NIR,973.0,5.00761340937179
187.388,NIR,973.0,4.991078822114197
187.93,NIR,973.0,4.991078822114197
188.454,NIR,973.0,4.991078822114197
188.99,NIR,973.0,4.991078822114197
189.528,NIR,973.0,4.991078822114197
190.073,NIR,973.0,4.991078822114197
190.595,NIR,973.0,4.983555605052459
191.129,NIR,973.0,4.983555605052459
